delta,band,percent,ci_low,ci_high
0.0,Any integer,10.832084580959995,9.881844717650456,11.782324444269532
1.0,Any integer,16.803240203069947,15.569902780118042,18.036577626021852
1.5,Any integer,21.962049223097047,20.54372100705496,23.380377439139135
2.0,Any integer,26.502657738628997,24.920386024919765,28.08492945233823
3.0,Any integer,33.29950058031686,31.803607552963115,34.795393607670604
4.0,Any integer,37.66393815047239,36.253392637222326,39.07448366372245
0.0,N ≈ 1,0.0,0.0,0.0
1.0,N ≈ 1,1.0218314955517571,0.6810586293613881,1.3626043617421264
1.5,N ≈ 1,3.2243837309971575,2.4357138561174456,4.013053605876869
2.0,N ≈ 1,6.687398410689556,5.430973660248676,7.943823161130437
3.0,N ≈ 1,14.495544718638358,12.942504150873358,16.04858528640336
4.0,N ≈ 1,21.46848660149911,19.76745093312894,23.169522269869276
0.0,N ≈ 2,8.943472517314992,8.143068173433466,9.74387686119652
1.0,N ≈ 2,12.895484293615198,12.02343877300686,13.767529814223536
1.5,N ≈ 2,16.31391658516429,15.159288835514277,17.468544334814304
2.0,N ≈ 2,17.80205259579374,16.65690838790513,18.94719680368235
3.0,N ≈ 2,17.758803242351085,16.719315166215054,18.798291318487117
4.0,N ≈ 2,15.578017299520802,14.631239548406969,16.524795050634637
0.0,N ≈ 3,1.0878554181845872,0.8591704637005451,1.3165403726686293
1.0,N ≈ 3,2.253721160148656,1.759201938129342,2.7482403821679706
1.5,N ≈ 3,2.2592045362134576,1.9448193646940188,2.573589707732897
2.0,N ≈ 3,1.9890697009073457,1.7314543914375935,2.2466850103770977
3.0,N ≈ 3,1.0451526193274183,0.8444813625249868,1.24582387612985
4.0,N ≈ 3,0.6174342494524776,0.40290955472714146,0.8319589441778137
