seed,delta,omega,rule,crossings,max_event_time_error
101,2.5,1.9,raw,814,9.094947017729282e-13
101,2.5,1.9,hysteresis,770,9.094947017729282e-13
101,2.5,1.925,raw,803,9.094947017729282e-13
101,2.5,1.925,hysteresis,763,9.094947017729282e-13
101,2.5,1.95,raw,808,4.547473508864641e-13
101,2.5,1.95,hysteresis,764,4.547473508864641e-13
101,2.5,1.975,raw,805,9.094947017729282e-13
101,2.5,1.975,hysteresis,741,9.094947017729282e-13
101,2.5,2.0,raw,803,4.547473508864641e-13
101,2.5,2.0,hysteresis,740,4.547473508864641e-13
101,2.5,2.025,raw,809,9.094947017729282e-13
101,2.5,2.025,hysteresis,742,4.547473508864641e-13
101,2.5,2.05,raw,800,4.547473508864641e-13
101,2.5,2.05,hysteresis,733,4.547473508864641e-13
101,2.5,2.075,raw,801,9.094947017729282e-13
101,2.5,2.075,hysteresis,732,9.094947017729282e-13
101,2.5,2.1,raw,800,9.094947017729282e-13
101,2.5,2.1,hysteresis,739,9.094947017729282e-13
101,2.5,2.125,raw,794,9.094947017729282e-13
101,2.5,2.125,hysteresis,729,9.094947017729282e-13
101,2.5,2.15,raw,791,9.094947017729282e-13
101,2.5,2.15,hysteresis,711,9.094947017729282e-13
101,2.5,2.175,raw,796,9.094947017729282e-13
101,2.5,2.175,hysteresis,713,9.094947017729282e-13
101,2.5,2.2,raw,785,4.547473508864641e-13
101,2.5,2.2,hysteresis,706,4.547473508864641e-13
101,2.5,2.225,raw,787,9.094947017729282e-13
101,2.5,2.225,hysteresis,697,9.094947017729282e-13
101,2.5,2.25,raw,785,4.547473508864641e-13
101,2.5,2.25,hysteresis,706,4.547473508864641e-13
101,2.5,2.275,raw,776,9.094947017729282e-13
101,2.5,2.275,hysteresis,690,9.094947017729282e-13
101,2.5,2.3,raw,783,9.094947017729282e-13
101,2.5,2.3,hysteresis,695,9.094947017729282e-13
101,2.5,2.325,raw,759,4.547473508864641e-13
101,2.5,2.325,hysteresis,682,4.547473508864641e-13
101,2.5,2.3333333333333335,raw,767,9.094947017729282e-13
101,2.5,2.3333333333333335,hysteresis,678,9.094947017729282e-13
101,2.5,2.35,raw,754,9.094947017729282e-13
101,2.5,2.35,hysteresis,671,9.094947017729282e-13
101,2.5,2.375,raw,766,4.547473508864641e-13
101,2.5,2.375,hysteresis,679,4.547473508864641e-13
101,2.5,2.4,raw,752,4.547473508864641e-13
101,2.5,2.4,hysteresis,666,4.547473508864641e-13
101,2.5,2.414213562373095,raw,764,4.547473508864641e-13
101,2.5,2.414213562373095,hysteresis,671,4.547473508864641e-13
101,2.5,2.425,raw,739,4.547473508864641e-13
101,2.5,2.425,hysteresis,665,4.547473508864641e-13
101,2.5,2.45,raw,753,9.094947017729282e-13
101,2.5,2.45,hysteresis,673,9.094947017729282e-13
101,2.5,2.475,raw,742,4.547473508864641e-13
101,2.5,2.475,hysteresis,653,4.547473508864641e-13
101,2.5,2.5,raw,736,9.094947017729282e-13
101,2.5,2.5,hysteresis,658,9.094947017729282e-13
101,2.5,2.525,raw,730,4.547473508864641e-13
101,2.5,2.525,hysteresis,649,4.547473508864641e-13
101,2.5,2.55,raw,725,4.547473508864641e-13
101,2.5,2.55,hysteresis,644,4.547473508864641e-13
101,2.5,2.575,raw,727,9.094947017729282e-13
101,2.5,2.575,hysteresis,640,9.094947017729282e-13
101,2.5,2.6,raw,731,9.094947017729282e-13
101,2.5,2.6,hysteresis,639,9.094947017729282e-13
102,2.5,1.9,raw,778,9.094947017729282e-13
102,2.5,1.9,hysteresis,721,9.094947017729282e-13
102,2.5,1.925,raw,774,5.4569682106375694e-12
102,2.5,1.925,hysteresis,729,4.547473508864641e-13
102,2.5,1.95,raw,786,9.094947017729282e-13
102,2.5,1.95,hysteresis,717,4.547473508864641e-13
