rule,r,delta,omega,mode_N
raw,0,0,1.9,1.9125
raw,0,0,1.925,1.9375
raw,0,0,1.95,1.9625000000000001
raw,0,0,1.975,1.9875
raw,0,0,2.0,2.0125
raw,0,0,2.025,2.0375
raw,0,0,2.05,2.0625
raw,0,0,2.075,2.0875000000000004
raw,0,0,2.1,2.1125
raw,0,0,2.125,2.1375
raw,0,0,2.15,2.1625
raw,0,0,2.175,2.1875
raw,0,0,2.2,2.2125000000000004
raw,0,0,2.225,2.2375
raw,0,0,2.25,2.2625
raw,0,0,2.275,2.2875
raw,0,0,2.3,2.3125
raw,0,0,2.325,2.3375000000000004
raw,0,0,2.3333333333333335,2.3375000000000004
raw,0,0,2.35,2.3625
raw,0,0,2.375,2.3875
raw,0,0,2.4,2.4125000000000005
raw,0,0,2.414213562373095,2.4375
raw,0,0,2.425,2.4375
raw,0,0,2.45,2.4625000000000004
raw,0,0,2.475,2.4875
raw,0,0,2.5,2.5125
raw,0,0,2.525,2.5375000000000005
raw,0,0,2.55,2.5625
raw,0,0,2.575,2.5875000000000004
raw,0,1,1.9,1.9375
raw,0,1,1.925,1.9375
raw,0,1,1.95,1.9625000000000001
raw,0,1,1.975,1.9875
raw,0,1,2.0,1.9875
raw,0,1,2.025,2.0125
raw,0,1,2.05,2.0375
raw,0,1,2.075,2.0375
raw,0,1,2.1,2.0625
raw,0,1,2.125,2.0875000000000004
raw,0,1,2.15,2.1125
raw,0,1,2.175,2.1125
raw,0,1,2.2,2.1375
raw,0,1,2.225,2.1625
raw,0,1,2.25,2.1875
raw,0,1,2.275,2.2125000000000004
raw,0,1,2.3,2.2375
raw,0,1,2.325,2.2625
raw,0,1,2.3333333333333335,2.2375
raw,0,1,2.35,2.2375
raw,0,1,2.375,2.2875
raw,0,1,2.4,2.2875
raw,0,1,2.414213562373095,2.3375000000000004
raw,0,1,2.425,2.3625
raw,0,1,2.45,2.4125000000000005
raw,0,1,2.475,2.4625000000000004
raw,0,1,2.5,2.4625000000000004
raw,0,1,2.525,2.4875
raw,0,1.5,1.9,1.9375
raw,0,1.5,1.925,1.9625000000000001
raw,0,1.5,1.95,1.9875
raw,0,1.5,1.975,1.9875
raw,0,1.5,2.0,1.9875
raw,0,1.5,2.025,2.0125
raw,0,1.5,2.05,2.0375
raw,0,1.5,2.075,2.0375
raw,0,1.5,2.1,2.0625
raw,0,1.5,2.125,2.0875000000000004
raw,0,1.5,2.15,2.0875000000000004
raw,0,1.5,2.175,2.1125
raw,0,1.5,2.2,2.1125
raw,0,1.5,2.225,2.1375
raw,0,1.5,2.25,2.1375
raw,0,1.5,2.275,2.1625
raw,0,1.5,2.3,2.1875
raw,0,1.5,2.325,2.2125000000000004
raw,0,1.5,2.3333333333333335,2.1875
raw,0,1.5,2.35,2.2125000000000004
raw,0,1.5,2.375,2.2375
raw,0,1.5,2.4,2.2375
raw,0,1.5,2.414213562373095,2.2625
raw,0,1.5,2.425,2.2625
raw,0,1.5,2.45,2.2375
raw,0,1.5,2.475,2.3125
raw,0,1.5,2.5,2.3375000000000004
raw,0,1.5,2.525,2.2875
raw,0,1.5,2.55,2.3875
raw,0,1.5,2.575,2.3125
raw,0,1.5,2.6,2.3875
raw,0,2,1.9,1.9625000000000001
raw,0,2,1.925,1.9625000000000001
raw,0,2,1.95,1.9875
raw,0,2,1.975,1.9875
raw,0,2,2.0,1.9875
raw,0,2,2.025,2.0125
raw,0,2,2.05,2.0125
raw,0,2,2.075,2.0375
raw,0,2,2.1,2.0625
raw,0,2,2.125,2.0625
raw,0,2,2.15,2.0875000000000004
raw,0,2,2.175,2.0875000000000004
raw,0,2,2.2,2.1125
raw,0,2,2.225,2.1125
raw,0,2,2.25,2.1375
raw,0,2,2.275,2.1375
raw,0,2,2.3,2.1625
raw,0,2,2.325,2.1625
raw,0,2,2.3333333333333335,2.1625
raw,0,2,2.35,2.1875
raw,0,2,2.375,2.1875
raw,0,2,2.4,2.2125000000000004
raw,0,2,2.414213562373095,2.2125000000000004
raw,0,2,2.425,2.2125000000000004
raw,0,2,2.45,2.2125000000000004
raw,0,2,2.475,2.2625
raw,0,2,2.5,2.2625
raw,0,2,2.525,2.2375
raw,0,2,2.55,2.3375000000000004
raw,0,2,2.575,2.2625
raw,0,2,2.6,2.3125
raw,0,3,1.9,1.9625000000000001
raw,0,3,1.925,1.9625000000000001
raw,0,3,1.95,1.9875
raw,0,3,1.975,1.9875
raw,0,3,2.0,1.9875
raw,0,3,2.025,2.0125
raw,0,3,2.05,2.0125
raw,0,3,2.075,2.0375
raw,0,3,2.1,2.0375
raw,0,3,2.125,2.0625
raw,0,3,2.15,2.0625
raw,0,3,2.175,2.0875000000000004
raw,0,3,2.2,2.0875000000000004
raw,0,3,2.225,2.1125
raw,0,3,2.25,2.1125
raw,0,3,2.275,2.1125
raw,0,3,2.3,2.1125
raw,0,3,2.325,2.1375
raw,0,3,2.3333333333333335,2.1375
raw,0,3,2.35,2.1625
raw,0,3,2.375,2.1625
raw,0,3,2.4,2.1625
raw,0,3,2.414213562373095,2.1625
raw,0,3,2.425,2.1625
raw,0,3,2.45,2.1875
raw,0,3,2.475,2.2125000000000004
raw,0,3,2.5,2.2125000000000004
raw,0,3,2.525,2.2375
raw,0,3,2.55,2.2375
raw,0,3,2.575,2.2125000000000004
raw,0,3,2.6,2.2375
raw,0,4,1.9,1.9625000000000001
raw,0,4,1.925,1.9625000000000001
raw,0,4,1.95,1.9875
raw,0,4,1.975,1.9875
raw,0,4,2.0,1.9875
raw,0,4,2.025,2.0125
raw,0,4,2.05,2.0125
raw,0,4,2.075,2.0375
raw,0,4,2.1,2.0375
raw,0,4,2.125,2.0625
raw,0,4,2.15,2.0625
raw,0,4,2.175,2.0625
raw,0,4,2.2,2.0875000000000004
raw,0,4,2.225,2.0875000000000004
raw,0,4,2.25,2.0875000000000004
raw,0,4,2.275,2.1125
raw,0,4,2.3,2.1125
raw,0,4,2.325,2.1125
raw,0,4,2.3333333333333335,2.1125
raw,0,4,2.35,2.1375
raw,0,4,2.375,2.1375
raw,0,4,2.4,2.1375
raw,0,4,2.414213562373095,2.1625
raw,0,4,2.425,2.1625
raw,0,4,2.45,2.1625
raw,0,4,2.475,2.1875
raw,0,4,2.5,2.1875
raw,0,4,2.525,2.1875
raw,0,4,2.55,2.1875
raw,0,4,2.575,2.1875
raw,0,4,2.6,2.1875
raw,0.5,0,1.9,1.8875000000000002
raw,0.5,0,1.925,1.9125
raw,0.5,0,1.95,1.9375
raw,0.5,0,1.975,1.9625000000000001
raw,0.5,0,2.0,1.9875
raw,0.5,0,2.025,2.0125
raw,0.5,0,2.05,2.0375
raw,0.5,0,2.075,2.0625
raw,0.5,0,2.1,2.0875000000000004
raw,0.5,0,2.125,2.1125
raw,0.5,0,2.15,2.1375
raw,0.5,0,2.175,2.1625
raw,0.5,0,2.2,2.1875
raw,0.5,0,2.225,2.2125000000000004
raw,0.5,0,2.25,2.2375
raw,0.5,0,2.275,2.2625
raw,0.5,0,2.3,2.2875
raw,0.5,0,2.325,2.3125
raw,0.5,0,2.3333333333333335,2.3125
raw,0.5,0,2.35,2.3375000000000004
raw,0.5,0,2.375,2.3625
raw,0.5,0,2.4,2.3875
raw,0.5,0,2.414213562373095,2.4375
raw,0.5,0,2.425,2.4125000000000005
raw,0.5,0,2.45,2.4375
raw,0.5,0,2.475,2.4625000000000004
raw,0.5,0,2.5,2.4875
raw,0.5,0,2.525,2.5125
raw,0.5,0,2.55,2.5625
raw,0.5,0,2.575,2.5875000000000004
raw,0.5,1,1.9,1.9125
raw,0.5,1,1.925,1.9375
raw,0.5,1,1.95,1.9625000000000001
raw,0.5,1,1.975,1.9625000000000001
raw,0.5,1,2.0,1.9875
raw,0.5,1,2.025,2.0125
raw,0.5,1,2.05,2.0125
raw,0.5,1,2.075,2.0375
raw,0.5,1,2.1,2.0625
raw,0.5,1,2.125,2.0625
raw,0.5,1,2.15,2.0875000000000004
raw,0.5,1,2.175,2.1125
raw,0.5,1,2.2,2.1375
raw,0.5,1,2.225,2.1375
raw,0.5,1,2.25,2.1625
raw,0.5,1,2.275,2.1875
raw,0.5,1,2.3,2.2375
raw,0.5,1,2.325,2.2375
raw,0.5,1,2.3333333333333335,2.2375
raw,0.5,1,2.35,2.2375
raw,0.5,1,2.375,2.2625
raw,0.5,1,2.4,2.2875
raw,0.5,1,2.414213562373095,2.3375000000000004
raw,0.5,1,2.425,2.2875
raw,0.5,1,2.45,2.3625
raw,0.5,1,2.475,2.3875
raw,0.5,1,2.5,2.4125000000000005
raw,0.5,1,2.525,2.4375
raw,0.5,1,2.55,2.4875
raw,0.5,1,2.575,2.5875000000000004
raw,0.5,1.5,1.9,1.9375
raw,0.5,1.5,1.925,1.9375
raw,0.5,1.5,1.95,1.9625000000000001
raw,0.5,1.5,1.975,1.9875
raw,0.5,1.5,2.0,1.9875
raw,0.5,1.5,2.025,2.0125
raw,0.5,1.5,2.05,2.0125
raw,0.5,1.5,2.075,2.0375
raw,0.5,1.5,2.1,2.0375
raw,0.5,1.5,2.125,2.0625
raw,0.5,1.5,2.15,2.0625
raw,0.5,1.5,2.175,2.0875000000000004
raw,0.5,1.5,2.2,2.1125
raw,0.5,1.5,2.225,2.1125
raw,0.5,1.5,2.25,2.1375
raw,0.5,1.5,2.275,2.1375
raw,0.5,1.5,2.3,2.1875
raw,0.5,1.5,2.325,2.1625
raw,0.5,1.5,2.3333333333333335,2.1875
raw,0.5,1.5,2.35,2.1625
raw,0.5,1.5,2.375,2.2125000000000004
raw,0.5,1.5,2.4,2.2625
raw,0.5,1.5,2.414213562373095,2.2875
raw,0.5,1.5,2.425,2.2125000000000004
raw,0.5,1.5,2.45,2.2375
raw,0.5,1.5,2.475,2.3125
raw,0.5,1.5,2.5,2.3875
raw,0.5,1.5,2.525,2.3625
raw,0.5,1.5,2.55,2.3625
raw,0.5,1.5,2.6,2.3375000000000004
raw,0.5,2,1.9,1.9375
raw,0.5,2,1.925,1.9625000000000001
raw,0.5,2,1.95,1.9625000000000001
raw,0.5,2,1.975,1.9875
raw,0.5,2,2.0,1.9875
raw,0.5,2,2.025,2.0125
raw,0.5,2,2.05,2.0125
raw,0.5,2,2.075,2.0125
raw,0.5,2,2.1,2.0375
raw,0.5,2,2.125,2.0375
raw,0.5,2,2.15,2.0625
raw,0.5,2,2.175,2.0875000000000004
raw,0.5,2,2.2,2.0875000000000004
raw,0.5,2,2.225,2.0875000000000004
raw,0.5,2,2.25,2.1125
raw,0.5,2,2.275,2.1375
raw,0.5,2,2.3,2.1625
raw,0.5,2,2.325,2.1375
raw,0.5,2,2.3333333333333335,2.1625
raw,0.5,2,2.35,2.1625
raw,0.5,2,2.375,2.1875
raw,0.5,2,2.4,2.1625
raw,0.5,2,2.414213562373095,2.2125000000000004
raw,0.5,2,2.425,2.1875
raw,0.5,2,2.45,2.1875
raw,0.5,2,2.475,2.2625
raw,0.5,2,2.5,2.2625
raw,0.5,2,2.525,2.2375
raw,0.5,2,2.55,2.3125
raw,0.5,2,2.575,2.2625
raw,0.5,2,2.6,2.2625
raw,0.5,3,1.9,1.9375
raw,0.5,3,1.925,1.9625000000000001
raw,0.5,3,1.95,1.9625000000000001
raw,0.5,3,1.975,1.9875
raw,0.5,3,2.0,1.9875
raw,0.5,3,2.025,2.0125
raw,0.5,3,2.05,2.0125
raw,0.5,3,2.075,2.0125
raw,0.5,3,2.1,2.0375
raw,0.5,3,2.125,2.0375
raw,0.5,3,2.15,2.0625
