dt,omega,delta,max_state_error,max_continuous_mean_error
0.005,1.9,1,1.149080830487037e-14,7.014773562841192e-05
0.005,1.9,2,1.509903313490213e-14,0.0001402954712506066
0.005,1.9,4,2.5757174171303632e-14,0.00028059094250654226
0.005,2.3333333333333335,1,1.9095836023552692e-14,3.75596598744532e-05
0.005,2.3333333333333335,2,1.7208456881689926e-14,7.511931975023867e-05
0.005,2.3333333333333335,4,2.1094237467877974e-14,0.00015023863949792382
0.005,2.6,1,1.4155343563970746e-14,2.8328533029864378e-05
0.005,2.6,2,1.3988810110276972e-14,5.665706605284537e-05
0.005,2.6,4,1.3877787807814457e-14,0.00011331413211379537
0.0025,1.9,1,2.2315482794965646e-14,3.407547981004733e-05
0.0025,1.9,2,2.2648549702353193e-14,6.815095962742213e-05
0.0025,1.9,4,3.2862601528904634e-14,0.00013630191924951518
0.0025,2.3333333333333335,1,1.4155343563970746e-14,1.7997163204552802e-05
0.0025,2.3333333333333335,2,1.892930256985892e-14,3.59943264175433e-05
0.0025,2.3333333333333335,4,2.653433028854124e-14,7.198865286039968e-05
0.0025,2.6,1,1.559863349598345e-14,1.3446048320153725e-05
0.0025,2.6,2,1.965094753586527e-14,2.689209663786496e-05
0.0025,2.6,4,2.653433028854124e-14,5.378419327328743e-05
0.00125,1.9,1,3.0753177782116836e-14,1.6788198410444544e-05
0.00125,1.9,2,2.9976021664879227e-14,3.357639682355362e-05
0.00125,1.9,4,6.078471059822732e-14,6.715279363400661e-05
0.00125,2.3333333333333335,1,2.7006175074006933e-14,8.802957688486268e-06
0.00125,2.3333333333333335,2,2.9476421303797906e-14,1.7605915355656254e-05
0.00125,2.3333333333333335,4,4.8183679268731794e-14,3.521183072108247e-05
0.00125,2.6,1,2.3859386688585005e-14,6.543508205336668e-06
0.00125,2.6,2,3.419486915845482e-14,1.3087016430324283e-05
0.00125,2.6,4,4.2049697057677804e-14,2.6174032880521558e-05
