seed,delta,omega,rule,crossings,max_event_time_error,rms_error
101,0.0,1.9,raw,484,0.0,0.0
101,0.0,1.9,hysteresis,459,0.0,0.0
101,0.0,1.925,raw,484,0.0,0.0
101,0.0,1.925,hysteresis,459,0.0,0.0
101,0.0,1.95,raw,484,0.0,0.0
101,0.0,1.95,hysteresis,459,0.0,0.0
101,0.0,1.975,raw,484,0.0,0.0
101,0.0,1.975,hysteresis,459,0.0,0.0
101,0.0,2.0,raw,484,0.0,0.0
101,0.0,2.0,hysteresis,459,0.0,0.0
101,0.0,2.025,raw,484,0.0,0.0
101,0.0,2.025,hysteresis,459,0.0,0.0
101,0.0,2.05,raw,484,0.0,0.0
101,0.0,2.05,hysteresis,459,0.0,0.0
101,0.0,2.075,raw,484,0.0,0.0
101,0.0,2.075,hysteresis,459,0.0,0.0
101,0.0,2.1,raw,484,0.0,0.0
101,0.0,2.1,hysteresis,459,0.0,0.0
101,0.0,2.125,raw,484,0.0,0.0
101,0.0,2.125,hysteresis,459,0.0,0.0
101,0.0,2.15,raw,484,0.0,0.0
101,0.0,2.15,hysteresis,459,0.0,0.0
101,0.0,2.175,raw,484,0.0,0.0
101,0.0,2.175,hysteresis,459,0.0,0.0
101,0.0,2.2,raw,484,0.0,0.0
101,0.0,2.2,hysteresis,459,0.0,0.0
101,0.0,2.225,raw,484,0.0,0.0
101,0.0,2.225,hysteresis,459,0.0,0.0
101,0.0,2.25,raw,484,0.0,0.0
101,0.0,2.25,hysteresis,459,0.0,0.0
101,0.0,2.275,raw,484,0.0,0.0
101,0.0,2.275,hysteresis,459,0.0,0.0
101,0.0,2.3,raw,484,0.0,0.0
101,0.0,2.3,hysteresis,459,0.0,0.0
101,0.0,2.325,raw,484,0.0,0.0
101,0.0,2.325,hysteresis,459,0.0,0.0
101,0.0,2.3333333333333335,raw,484,0.0,0.0
101,0.0,2.3333333333333335,hysteresis,459,0.0,0.0
101,0.0,2.35,raw,484,0.0,0.0
101,0.0,2.35,hysteresis,459,0.0,0.0
101,0.0,2.375,raw,484,0.0,0.0
101,0.0,2.375,hysteresis,459,0.0,0.0
101,0.0,2.4,raw,484,0.0,0.0
101,0.0,2.4,hysteresis,459,0.0,0.0
101,0.0,2.414213562373095,raw,484,0.0,0.0
101,0.0,2.414213562373095,hysteresis,459,0.0,0.0
101,0.0,2.425,raw,484,0.0,0.0
101,0.0,2.425,hysteresis,459,0.0,0.0
101,0.0,2.45,raw,484,0.0,0.0
101,0.0,2.45,hysteresis,459,0.0,0.0
101,0.0,2.475,raw,484,0.0,0.0
101,0.0,2.475,hysteresis,459,0.0,0.0
101,0.0,2.5,raw,484,0.0,0.0
101,0.0,2.5,hysteresis,459,0.0,0.0
101,0.0,2.525,raw,484,0.0,0.0
101,0.0,2.525,hysteresis,459,0.0,0.0
101,0.0,2.55,raw,484,0.0,0.0
101,0.0,2.55,hysteresis,459,0.0,0.0
101,0.0,2.575,raw,484,0.0,0.0
101,0.0,2.575,hysteresis,459,0.0,0.0
101,0.0,2.6,raw,484,0.0,0.0
101,0.0,2.6,hysteresis,459,0.0,0.0
101,1.0,1.9,raw,578,4.547473508864641e-13,2.220446049250313e-16
101,1.0,1.9,hysteresis,527,4.547473508864641e-13,2.220446049250313e-16
101,1.0,1.925,raw,579,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,1.925,hysteresis,531,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,1.95,raw,574,4.547473508864641e-13,2.220446049250313e-16
101,1.0,1.95,hysteresis,527,4.547473508864641e-13,2.220446049250313e-16
101,1.0,1.975,raw,565,4.547473508864641e-13,7.771561172376096e-16
101,1.0,1.975,hysteresis,533,4.547473508864641e-13,7.771561172376096e-16
101,1.0,2.0,raw,567,4.547473508864641e-13,2.220446049250313e-16
101,1.0,2.0,hysteresis,517,4.547473508864641e-13,2.220446049250313e-16
101,1.0,2.025,raw,569,9.094947017729282e-13,1.1102230246251565e-16
101,1.0,2.025,hysteresis,530,9.094947017729282e-13,1.1102230246251565e-16
101,1.0,2.05,raw,562,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.05,hysteresis,525,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.075,raw,562,4.547473508864641e-13,0.0
101,1.0,2.075,hysteresis,527,4.547473508864641e-13,0.0
101,1.0,2.1,raw,557,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.1,hysteresis,522,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.125,raw,564,9.094947017729282e-13,2.220446049250313e-16
101,1.0,2.125,hysteresis,513,4.547473508864641e-13,2.220446049250313e-16
101,1.0,2.15,raw,559,4.547473508864641e-13,4.440892098500626e-16
101,1.0,2.15,hysteresis,520,4.547473508864641e-13,4.440892098500626e-16
101,1.0,2.175,raw,557,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,2.175,hysteresis,514,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,2.2,raw,557,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,2.2,hysteresis,510,4.547473508864641e-13,1.1102230246251565e-16
101,1.0,2.225,raw,558,9.094947017729282e-13,3.3306690738754696e-16
101,1.0,2.225,hysteresis,507,9.094947017729282e-13,3.3306690738754696e-16
101,1.0,2.25,raw,546,4.547473508864641e-13,2.220446049250313e-16
101,1.0,2.25,hysteresis,505,4.547473508864641e-13,2.220446049250313e-16
101,1.0,2.275,raw,556,9.094947017729282e-13,1.1102230246251565e-16
101,1.0,2.275,hysteresis,513,9.094947017729282e-13,1.1102230246251565e-16
101,1.0,2.3,raw,555,9.094947017729282e-13,1.3322676295501878e-15
101,1.0,2.3,hysteresis,502,9.094947017729282e-13,1.3322676295501878e-15
101,1.0,2.325,raw,557,4.547473508864641e-13,4.440892098500626e-16
101,1.0,2.325,hysteresis,504,4.547473508864641e-13,4.440892098500626e-16
101,1.0,2.3333333333333335,raw,543,4.547473508864641e-13,5.551115123125783e-16
101,1.0,2.3333333333333335,hysteresis,501,4.547473508864641e-13,5.551115123125783e-16
