r,delta,seed,factor,cycles,mean_N,median_N,integer_fraction,band1,band2,band3,event_R1,event_R2,interval_R,next2_given2,event_Omega
0.0,0.0,201,0.1,466,2.3893401867343638,2.334904891864798,0.1072961373390558,0.0,0.08798283261802575,0.012875536480686695,0.03586015006453861,0.028077313172570784,0.4264095466367966,0.0975609756097561,0.9765596989026591
0.0,0.0,201,0.25,455,2.4471044549850847,2.3495446322874547,0.10989010989010989,0.0,0.08571428571428572,0.015384615384615385,0.04323678194989685,0.032303287438168925,0.4229510411114554,0.10256410256410256,0.9535078605165448
0.0,0.0,201,0.5,418,2.66371417946941,2.3667723558933003,0.09090909090909091,0.0,0.06698564593301436,0.007177033492822967,0.03110308476180581,0.03901854759348064,0.47581868932776955,0.10714285714285714,0.8759698586723422
0.0,1.0,201,0.1,519,2.146152794934981,2.2527516948033193,0.19653179190751446,0.04816955684007707,0.1252408477842004,0.023121387283236993,0.4023702351506566,0.061930408193473736,0.2756151232621305,0.13846153846153847,1.0872167810419218
0.0,1.0,201,0.25,495,2.2488623493065916,2.2730244777645217,0.18383838383838383,0.028282828282828285,0.13131313131313133,0.022222222222222223,0.38565835695218004,0.06250634331559596,0.2950858391400863,0.16923076923076924,1.0375616515847612
0.0,1.0,201,0.5,450,2.473748584237251,2.3191755546337856,0.16,0.0044444444444444444,0.12222222222222222,0.02,0.342764603881491,0.04422406588204874,0.32405696812402196,0.14545454545454545,0.9432378650770556
0.0,1.5,201,0.1,572,1.9473800654556577,2.1507488605850877,0.24125874125874125,0.0944055944055944,0.1346153846153846,0.012237762237762238,0.5557225580422023,0.1507212360731712,0.27586251863689537,0.15584415584415584,1.1981910335450459
0.0,1.5,201,0.25,533,2.089871289757291,2.2037984276799487,0.24765478424015008,0.075046904315197,0.14821763602251406,0.0225140712945591,0.5464403086051505,0.15631823713539486,0.29163908415540357,0.20253164556962025,1.1164961903487927
0.0,1.5,201,0.5,474,2.348396913747474,2.253660799110907,0.23417721518987342,0.029535864978902954,0.16244725738396623,0.027426160337552744,0.5095389905920504,0.12981042513807434,0.28761279333381157,0.19480519480519481,0.9935855900993742
0.0,2.0,201,0.1,635,1.7542167147402352,2.064803658982624,0.27244094488188975,0.14488188976377953,0.11811023622047244,0.009448818897637795,0.6508073346427113,0.20779628665043287,0.3474033194218014,0.18666666666666668,1.3301283209348818
0.0,2.0,201,0.25,600,1.8565460231000819,2.1041725595071195,0.2816666666666667,0.12333333333333334,0.14666666666666667,0.011666666666666667,0.6529084803741326,0.21754151269407782,0.35728773332571057,0.20454545454545456,1.2568141615132742
0.0,2.0,201,0.5,519,2.1447243778220573,2.175850709841383,0.2928709055876686,0.0674373795761079,0.1907514450867052,0.02697495183044316,0.6379189171771183,0.21216711241421846,0.3602725263645441,0.24242424242424243,1.087940882969217
0.0,3.0,201,0.1,784,1.4208612731339296,1.1240736788096604,0.34566326530612246,0.25892857142857145,0.08163265306122448,0.00510204081632653,0.7692474826675912,0.33983503017933453,0.48237830304789925,0.109375,1.6421964462348992
0.0,3.0,201,0.25,734,1.5176501881975488,1.1668339745589922,0.3814713896457766,0.25340599455040874,0.1226158038147139,0.005449591280653951,0.785909145730005,0.3805802022696441,0.534833404032577,0.17777777777777778,1.5374645300209389
0.0,3.0,201,0.5,640,1.7405550595890638,2.014935986975617,0.409375,0.19375,0.2015625,0.0140625,0.7974118092359551,0.4184381942181055,0.5744565090550963,0.29457364341085274,1.3405685275386932
0.0,4.0,201,0.1,910,1.2231469549890686,1.0462174175514292,0.3956043956043956,0.33406593406593404,0.06153846153846154,0.0,0.8209567062011581,0.4490226912026314,0.5589113043211623,0.14285714285714285,1.9076475838131708
0.0,4.0,201,0.25,866,1.28529298965364,1.0599371085350877,0.43187066974595845,0.3394919168591224,0.09122401847575058,0.0011547344110854503,0.8354713356364746,0.4848382420858221,0.6087905057860594,0.12658227848101267,1.8154096786617646
0.0,4.0,201,0.5,771,1.4436624241764622,1.1036933041709822,0.4708171206225681,0.30739299610894943,0.1621271076523995,0.0012970168612191958,0.8506491503120713,0.5266322992375448,0.6555374464411244,0.248,1.6162596561757745
0.5,0.0,201,0.1,469,2.369483259291615,2.331467906217827,0.13859275053304904,0.0021321961620469083,0.11513859275053305,0.017057569296375266,0.021846020173420185,0.03472520965016534,0.3323127058763044,0.07407407407407407,0.984743540256499
0.5,0.0,201,0.25,453,2.45317361723569,2.334247882453337,0.1456953642384106,0.0,0.11920529801324503,0.01545253863134658,0.02181249178021129,0.032254805463773746,0.34774927000893446,0.07407407407407407,0.9511488779023328
0.5,0.0,201,0.5,389,2.8567805876806363,2.357971301693981,0.11311053984575835,0.0,0.09511568123393316,0.007712082262210797,0.03174775255529591,0.04555983857926004,0.42462639202856745,0.08108108108108109,0.8167702284856677
0.5,1.0,201,0.1,507,2.1924675145355543,2.267412035516004,0.1992110453648915,0.03944773175542406,0.1341222879684418,0.023668639053254437,0.3591071131734323,0.1015004099691193,0.25072189178970694,0.1323529411764706,1.0642499001074683
0.5,1.0,201,0.25,480,2.3157938122281796,2.300795617051018,0.19375,0.014583333333333334,0.13541666666666666,0.0375,0.33533415915160597,0.0986679717445705,0.2613186276136395,0.09230769230769231,1.0075738699242305
0.5,1.0,201,0.5,424,2.6216533723337876,2.3583117306376584,0.16981132075471697,0.0,0.1179245283018868,0.02122641509433962,0.2771875622031569,0.07861154198802695,0.31386719443075833,0.08,0.8900235850997368
0.5,1.5,201,0.1,540,2.0585943158649798,2.2043210089849,0.24074074074074073,0.08703703703703704,0.13518518518518519,0.018518518518518517,0.4935633655258446,0.13212857152232216,0.2514743781803444,0.1506849315068493,1.1334595239824676
0.5,1.5,201,0.25,504,2.2056367669981927,2.2373608410116494,0.24404761904761904,0.051587301587301584,0.16666666666666666,0.021825396825396824,0.47147803989271986,0.13139261238269895,0.2599282540945355,0.20238095238095238,1.0578955557169696
0.5,1.5,201,0.5,441,2.5207277337122203,2.311574439567229,0.20634920634920634,0.0022675736961451248,0.1564625850340136,0.018140589569160998,0.4142496007249088,0.08527530982503147,0.2540980620483549,0.2028985507246377,0.9256586112523485
